架构     59 0.0227439    
跨度     59 0.0227439    
说出     59 0.0227439    
梦想     59 0.0227439    
蜂窝     59 0.0227439    
下线     59 0.0227439    
车与车     59 0.0682317    
短距离     59 0.0227439    
标配     59 0.0227439    
奔驰     59 0.0227439    
来袭     59 0.0227439    
有着     59 0.0227439    
陈山枝     59 0.0454878    
第三款     59 0.0227439    
高可靠性     59 0.0227439    
稿     59 0.0227439    
必然     59 0.0227439    
家车     59 0.0227439    
前菜     59 0.0227439    
视距     59 0.0227439    
总裁     59 0.0227439    
周边环境     59 0.0227439    
东风公司     59 0.0227439    
车机     59 0.0227439    
传输     59 0.0227439    
相     59 0.0227439    
两辆车     59 0.0227439    
此举     59 0.0227439    
欣喜     59 0.0227439    
交互     59 0.0454878    
立国     59 0.0227439    
八成     59 0.0227439    
热情     59 0.0227439    
大餐     59 0.0227439    
李光国     59 0.0227439    
开幕     59 0.0227439    
商用     59 0.0682317    
词     59 0.0227439    
恐怕     59 0.0227439    
交换     59 0.0227439    
商用化     59 0.0227439    
涵盖     59 0.0227439    
颠覆     59 0.0682317    
拟将     59 0.0227439    
息息相关     59 0.0227439    
无线     59 0.0227439    
执行机构     59 0.0227439    
拟定     59 0.0227439    
时延     59 0.0682317    
高速移动     59 0.0227439    
roomzz     59 0.0227439    
marvelr     59 0.0227439    
gl     59 0.0227439    
走近     58 0.111546    
笔者     58 0.111546    
干道     58 0.111546    
丢弃     58 0.111546    
事先     57 0.0161288    
二手     57 0.0161288    
宰客     57 0.0322575    
蓝     57 0.0161288    
究竟     57 0.0161288    
社会公众     57 0.0161288    
诚信为本     57 0.0161288    
电瓶     57 0.12903    
现实生活     57 0.0161288    
牢固     57 0.0161288    
提成     57 0.0161288    
小到     57 0.0161288    
清晰     57 0.0161288    
店换     57 0.0161288    
汽车修理     57 0.0161288    
每名     57 0.0161288    
拿起     57 0.0161288    
欺诈     57 0.0806438    
检修     57 0.0161288    
档案     57 0.0645151    
查阅     57 0.0161288    
条款     57 0.0161288    
店里     57 0.0161288    
节气门     57 0.0483863    
元换     57 0.0161288    
涛     57 0.0161288    
哲     57 0.0161288    
明确规定     57 0.0161288    
零件     57 0.0161288    
未经许可     57 0.0161288    
获取     59 0.0203743    57 0.0144484    
管理机构     57 0.0322575    
贵州     57 0.0161288    
换上     57 0.0161288    
发票     57 0.0322575    
器件     57 0.0161288    
拆下     57 0.0322575    
承修     57 0.0161288    
牛佳雯     57 0.0161288    
欺骗     57 0.0322575    
依赖     57 0.0161288    
店花     57 0.0161288    
服务行业     57 0.0161288    
专业性     57 0.0161288    
通报会     57 0.0161288    
段时间     57 0.0161288    
师傅     57 0.0161288    
店家     57 0.0161288    
维修保养     57 0.0483863    
坏     57 0.0322575    
不小     57 0.0161288    
保存     57 0.0161288    
厘清     57 0.0161288    
聘请     57 0.0161288    
保险丝     57 0.0161288    
各个环节     57 0.0161288    
亿辆     57 0.0322575    
拍     57 0.0161288    
猫儿腻     57 0.0322575    
类似     57 0.0322575    
两周     57 0.0161288    
一看     58 0.0999249    57 0.0144484    
修成     57 0.0161288    
换成     57 0.0161288    
商誉     57 0.0161288    
协商     57 0.0322575    
常见     57 0.0161288    
假冒伪劣     57 0.0161288    
取车     57 0.0161288    
几十倍     57 0.0161288    
制图     57 0.0161288    
回忆     57 0.0161288    
安阳     57 0.0161288    
本来     57 0.0161288    
民二庭     57 0.0161288    
丁涛     57 0.0161288    
三两个     57 0.0161288    
圈套     57 0.0322575    
多卖     57 0.0161288    
诚     57 0.0322575    
一厢情愿     57 0.0161288    
小毛病     57 0.0322575    
雨燕     57 0.0161288    
时才     57 0.0161288    
票据     57 0.0161288    
反而     57 0.0161288    
整件     57 0.0161288    
事例     57 0.0161288    
占地     57 0.0161288    
庭长     57 0.0161288    
几天     59 0.0203743    57 0.0144484    
湖南     57 0.0161288    
大到     57 0.0161288    
列明     57 0.0161288    
小事     57 0.0161288    
下大力气     57 0.0161288    
上次     57 0.0161288    
医     57 0.0161288    
涌现     57 0.0161288    
厨     57 0.0161288    
签订合同     57 0.0322575    
口头     57 0.0161288    
来信     57 0.0322575    
三包     57 0.0161288    
程诚     57 0.0322575    
索要     57 0.0161288    
良莠不齐     57 0.0161288    
花样百出     57 0.0161288    
花费     57 0.0161288    
蒙受     57 0.0161288    
蓝云     57 0.0161288    
议价     57 0.0161288    
诚信     57 0.0322575    
费     57 0.0161288    
高级技师     57 0.0161288    
赚     57 0.0161288    
车里     57 0.0161288    
辆次     57 0.0161288    
运管     57 0.0161288    
送至     57 0.0161288    
这家     57 0.0161288    
遵义     57 0.0161288    
避开     57 0.0161288    
限定     59 0.0227439    
钱     57 0.0161288    
错误判断     57 0.0161288    
随之而来     57 0.0161288    
顾     57 0.0161288    
颁布     57 0.0161288    
预先     57 0.0161288    
玛丽亚     56 0.0579661    
拉中     56 0.0579661    
奥     56 0.0579661    
拉美地区     56 0.0579661    
公交系统     56 0.115932    
公司总裁     56 0.0579661    
两笔     56 0.0579661    
里约热内卢     56 0.0579661    
交付使用     56 0.0579661    
尔     56 0.0579661    
米长     56 0.115932    
载客量     56 0.0579661    
失去     55 0.0395678    
几倍     57 0.0161288    
柱锁     55 0.118703    
前排     55 0.0791355    
日到     55 0.0395678    
罗宾汉     55 0.0395678    
恰当     55 0.0395678    
柱管     55 0.0395678    
大众汽车     59 0.0203743    55 0.106336    
夹子     55 0.0791355    
车灯     57 0.0645151    
外壳     55 0.118703    
电线     55 0.0395678    
压铸     55 0.0395678    
铸件     55 0.0395678    
q     55 0.158271    
esl     55 0.118703    
愉悦     54 0.0352834    
微信     54 0.0705668    
很少     54 0.0352834    
座谈会     54 0.0352834    
起到     54 0.0352834    
命题     54 0.0352834    
管理处     54 0.0352834    
马明     54 0.0705668    
代付款     54 0.0352834    
亲属     54 0.0352834    
使命     54 0.0705668    
晨     54 0.0352834    
下载     54 0.0705668    
可拨打     54 0.0352834    
账号     54 0.0352834    
闫磊     54 0.0705668    
身边     58 0.0999249    54 0.0316074    
忽视     54 0.0352834    
朋友     54 0.0352834    
里卡多     56 0.0579661    
转载     54 0.0352834    
追求     54 0.0352834    
绑定     54 0.0352834    
老龄化     54 0.0352834    
联席     54 0.0352834    
车况     54 0.0352834    
鸿沟     54 0.0352834    
游览     53 0.0640114    
指定     53 0.0640114    
客舱     53 0.0640114    
具体措施     53 0.0640114    
高校学生     53 0.0640114    
严控     53 0.0640114    
务工地     53 0.0640114    
包机     53 0.0640114    
突变     53 0.0640114    
每辆     52 0.0613231    
汽修厂     57 0.0161288    
亚马逊     52 0.0306615    
数千     52 0.0306615    
数十亿     52 0.0306615    
提供支援     52 0.0306615    
所用     52 0.0306615    
滞后     52 0.0306615    
实用化     52 0.0306615    
分布     52 0.0306615    
初创     52 0.0306615    
原有     54 0.0705668    
全固态     52 0.0306615    
abi     52 0.0306615    
更长     52 0.0306615    
控股集团     52 0.0306615    
咨询机构     52 0.0613231    
增长点     52 0.0306615    
跨行业     52 0.0306615    
一大     52 0.122646    
不均     52 0.0306615    
漏液     52 0.0306615    
ccfa     52 0.0306615    
百度     52 0.0306615    
排放量     52 0.0613231    
多国     52 0.0613231    
势必     52 0.0306615    
客户端     54 0.0352834    
汽车尾气     52 0.0306615    
注册量     52 0.0306615    
痛点     52 0.0306615    
空气质量     56 0.0519269    52 0.0274671    
趋严     52 0.0306615    
谷歌     52 0.0306615    
车价     52 0.0306615    
遭受     57 0.0288968    52 0.0274671    
马克     52 0.0306615    
收回     58 0.111546    
低估     51 0.0549042    
写字楼     51 0.0549042    
一层     51 0.0549042    
多万立方米     51 0.0549042    
砂     51 0.0549042    
机械     59 0.0407487    51 0.0491841    
围护     51 0.109808    
最深     51 0.109808    
咬定     51 0.0549042    
到处     51 0.0549042    
建筑面积     51 0.0549042    
涌     51 0.0549042    
导改     51 0.0549042    
五星级     51 0.0549042    
建设者     51 0.0549042    
只争朝夕     51 0.0549042    
中招     57 0.0161288    
倪登云     51 0.0549042    
不负     51 0.0549042    
负二和负     51 0.0549042    
开挖     51 0.109808    
大表     51 0.0549042    
如林     51 0.0549042    
土方     51 0.109808    
右手     51 0.0549042    
打进     51 0.0549042    
直径     51 0.0549042    
明挖     51 0.0549042    
梢     51 0.0549042    
槽     51 0.0549042    
河     51 0.0549042    
派     51 0.0549042    
流砂     51 0.0549042    
涌砂     51 0.0549042    
热火朝天     51 0.0549042    
管线     51 0.0549042    
素以     51 0.0549042    
波兰政府     50 0.0680294    
医用     50 0.0680294    
此趟     50 0.0680294    
开年     50 0.0680294    
列为     54 0.0316074    50 0.0609418    
义乌市     50 0.0680294    
补充     50 0.0680294    
标箱     50 0.204088    
拉美     56 0.115932    
马拉     50 0.204088    
班     50 0.0680294    
屈凌燕     50 0.0680294    
舍     50 0.204088    
入园     53 0.0640114    
防护服     50 0.0680294    
首趟     50 0.136059    
演示     49 0.0704574    
生成     49 0.0704574    
牛津     49 0.0704574    
立法     49 0.140915    
亿英镑     52 0.0274671    49 0.0631169    
伯明翰     49 0.0704574    
参考     56 0.0579661    
联与     49 0.0704574    
守信     57 0.0161288    
场     49 0.0704574    
酝酿     49 0.0704574    
图像     49 0.0704574    
d     49 0.0704574    
对系统     48 0.0231361    
应以     48 0.0231361    
斑马     48 0.0694082    
舍掉     48 0.0231361    
峡谷     48 0.0694082    
林荫     48 0.0231361    
凭证     57 0.0144484    48 0.0207257    
引起     53 0.0573424    48 0.0207257    
除享     48 0.0231361    
有积     57 0.0161288    
下单     48 0.0231361    
avenir     59 0.0227439    
神马     48 0.0925443    
截图     48 0.0231361    
个体     59 0.0203743    48 0.0414513    
消保委     48 0.0925443    
秒数     48 0.0231361    
准确性     48 0.0231361    
规程     48 0.0231361    
每家     48 0.0231361    
半数     48 0.0462722    
试行     59 0.0203743    48 0.0207257    
校准     48 0.0231361    
jjf     48 0.0231361    
自律     57 0.0161288    
浩     48 0.0231361    
直观     48 0.0231361    
确凿     48 0.0231361    
神州     48 0.11568    
符合标准     48 0.0231361    
符合规范     48 0.138816    
计时     48 0.347041    
aa     48 0.0462722    
放在心上     47 0.0300066    
氛围     47 0.0300066    
探视     47 0.0300066    
流浪     47 0.0300066    
感人     47 0.0300066    
联动机制     47 0.0300066    
坚守岗位     47 0.0300066    
物资供应     47 0.0300066    
生命安全     47 0.0300066    
测评     48 0.0231361    
孤儿     47 0.0300066    
关切     47 0.0300066    
多样     47 0.0300066    
境外     47 0.0300066    
元旦     47 0.0300066    
属地     53 0.0573424    47 0.0268804    
身体健康     47 0.0300066    
留校     47 0.0300066    
乞讨     47 0.0300066    
落     47 0.0300066    
安危冷暖     47 0.0300066    
摸底     47 0.0300066    
免费电影     47 0.0300066    
蒂斯     56 0.0579661    
妇女     47 0.0300066    
热点问题     47 0.0300066    
事业单位     47 0.0300066    
体育     47 0.0300066    
物价上涨     47 0.0300066    
关心     47 0.0600132    
医疗     47 0.0300066    
局部地区     47 0.0300066    
降到     47 0.0300066    
照顾     47 0.0300066    
稳价     47 0.0300066    
蔓延     47 0.0300066    
要带头     47 0.0300066    
解     47 0.0300066    
多种手段     54 0.0352834    
针对性     47 0.0300066    
限时     47 0.0300066    
误导     57 0.0161288    
需经     47 0.0300066    
施     46 0.0308948    
反复     59 0.0203743    46 0.027676    
提高效率     46 0.0308948    
投入使用     56 0.0519269    46 0.055352    
怀密线     46 0.0308948    
快轨     46 0.0926843    
郜春海说     46 0.0308948    
春     46 0.0308948    
吸引力     46 0.0308948    
长度     46 0.0308948    
岭     46 0.0308948    
开胃     59 0.0227439    
飞机票     46 0.0308948    
提速     46 0.0617895    
奎     46 0.0617895    
坦言     46 0.0308948    
大学校长     46 0.0308948    
南北     46 0.0308948    
按时     46 0.0308948    
几年     46 0.0308948    
公司党委     46 0.0308948    
控     46 0.0308948    
施划     46 0.0308948    
上施划     46 0.0308948    
地铁票     46 0.0308948    
交     46 0.0308948    
升至     52 0.0274671    46 0.027676    
庄     46 0.0308948    
汽油车     52 0.0613231    
亮相     46 0.0308948    
起来     46 0.0308948    
拨子     46 0.0308948    
平谷     46 0.0308948    
副董事长     46 0.0308948    
大钟寺     46 0.0308948    
动作     46 0.0308948    
中将     49 0.0631169    46 0.027676    
后期     48 0.0207257    46 0.027676    
叫座     46 0.0308948    
李     46 0.0617895    
首末     46 0.0308948    
桥区     46 0.0308948    
满满     46 0.0308948    
郊区     46 0.0308948    
点位     46 0.0308948    
王稼琼     46 0.0308948    
着眼     46 0.0308948    
空间结构     46 0.0308948    
老线     46 0.0308948    
行者     58 0.0999249    46 0.027676    
走廊     46 0.154474    
郜春海为     46 0.0308948    
驿栈     46 0.0308948    
邮     45 0.0433407    
岗     47 0.0806412    45 0.0776506    
韵     45 0.0433407    
脱销     47 0.0268804    45 0.0388253    
法定     45 0.0433407    
疫苗     45 0.0866814    
极     54 0.0316074    45 0.0388253    
留守     47 0.0268804    45 0.0776506    
切实加强     47 0.0268804    45 0.0388253    
农副产品     47 0.0268804    45 0.0388253    
新春佳节     47 0.0268804    45 0.0388253    
休假     47 0.0537608    45 0.0776506    
加班     47 0.0537608    45 0.0388253    
迎新春     47 0.0268804    45 0.0388253    
劳动合同     47 0.0268804    45 0.0388253    
守住     45 0.0433407    
明确要求     45 0.0433407    
接种     45 0.0866814    
京东     45 0.0433407    
中通     45 0.0433407    
客服     54 0.0632149    45 0.0388253    
大中城市     47 0.0268804    45 0.0388253    
丰     45 0.0433407    
德     45 0.0433407    
积极行动     45 0.0433407    
批发市场     47 0.0268804    45 0.0388253    
而小鹏     44 0.0458596    
热门话题     44 0.0458596    
如愿以偿     44 0.0458596    
从无到有     44 0.0458596    
营养     44 0.0458596    
答卷     44 0.0458596    
最为     59 0.0227439    
海内外     44 0.0458596    
正面     44 0.0458596    
某车     44 0.0458596    
传统观念     44 0.0458596    
群雄逐鹿     44 0.0458596    
低价     44 0.0458596    
回报     44 0.0458596    
年小鹏     44 0.0458596    
聚光灯     44 0.0458596    
屡次     44 0.0458596    
股价     44 0.0458596    
定义     59 0.061123    44 0.0410818    
人文     47 0.0300066    
这次     57 0.0144484    44 0.0410818    
代表性     44 0.0458596    
梁海     54 0.0352834    
冲破     44 0.0458596    
交出     44 0.0458596    
精品     44 0.0458596    
三者     44 0.0458596    
蓬勃     44 0.0458596    
临界点     44 0.0458596    
大有     59 0.0227439    
周围     44 0.0458596    
之中     44 0.0458596    
坐地铁     46 0.0308948    
拭目以待     44 0.0458596    
何小鹏     44 0.0458596    
车企以     44 0.0458596    
如小鹏     44 0.0458596    
丰沛     44 0.0458596    
一并     46 0.027676    44 0.0410818    
低质     44 0.0458596    
代名词     44 0.0458596    
之下     44 0.0458596    
突围     44 0.0458596    
呼之欲出     44 0.0458596    
奠基     44 0.0458596    
评判     44 0.0458596    
夙愿     44 0.0458596    
规律     44 0.0458596    
诚如     44 0.0458596    
愿意     46 0.0308948    
重新组合     44 0.0458596    
领先者     44 0.0458596    
室外     43 0.0850005    
广场     43 0.0850005    
亭     43 0.0850005    
当时     57 0.0161288    
空跑     46 0.0308948    
暂存     43 0.0850005    
专区     43 0.170001    
对高     43 0.0850005    
加油站     43 0.0850005    
蓬勃发展     42 0.0430282    
衍生     46 0.027676    42 0.0385453    
网状     42 0.0430282    
无源之水     42 0.0430282    
触手可及     42 0.0430282    
生态系统     42 0.0430282    
期     42 0.0430282    
大众化     42 0.0430282    
抓住     42 0.0430282    
关键时期     42 0.0430282    
从来不     42 0.0430282    
中会     42 0.0430282    
内涵     42 0.0430282    
传统意义     42 0.0430282    
一段时间     59 0.0203743    42 0.0385453    
面向未来     42 0.0430282    
前所未有     42 0.0430282    
透明化     57 0.0322575    
无本之木     42 0.0430282    
基点     42 0.0430282    
特征     59 0.0186931    54 0.0289993    42 0.0353647    
空中楼阁     42 0.0430282    
天生     42 0.0430282    
交叠     42 0.0430282    
成交量     42 0.0430282    
链式     42 0.0430282    
海关总署     41 0.0416148    
不易     40 0.0578251    
危害     40 0.0578251    
探头     40 0.0578251    
打包     40 0.0578251    
想到     40 0.0578251    
寻求     56 0.0476421    42 0.0353647    40 0.0475263    
何在     40 0.0578251    
扣分     40 0.0578251    
发给     40 0.0578251    
卖分     40 0.11565    
人脸     40 0.0578251    
容错     40 0.0578251    
感     57 0.0161288    
传唤     40 0.0578251    
帮别人     40 0.0578251    
广告     40 0.0578251    
相济     40 0.0578251    
减分     40 0.0578251    
从中     44 0.0410818    40 0.0518007    
系     40 0.0578251    
玄机     40 0.0578251    
交警部门     40 0.0578251    
买主     40 0.0578251    
管得严     40 0.0578251    
实线     40 0.0578251    
半年     57 0.0144484    40 0.103601    
内竟     40 0.0578251    
外省     40 0.0578251    
检验     40 0.0578251    
正脸     40 0.0578251    
竟然     40 0.0578251    
行政拘留     40 0.0578251    
警察局     40 0.0578251    
％     53 0.0640114    
顶     40 0.0578251    
贵阳     39 0.103655    
贴     39 0.0129569    
王曦摄     39 0.0388707    
复检     39 0.0129569    
标签     44 0.0410818    39 0.011607    
胥冰洁摄     39 0.0518276    
轮     39 0.129569    
加紧     39 0.103655    
知行     59 0.0227439    
所需     39 0.103655    
抓好     38 0.0774178    
人会     38 0.0774178    
局长     38 0.0774178    
巡游     38 0.0774178    
安全检查     38 0.0774178    
增多     38 0.0774178    
增添     54 0.0632149    38 0.0693521    
国办     38 0.0774178    
状况良好     38 0.0774178    
驾驶人员     38 0.0774178    
显效     37 0.0350668    
四季度     37 0.0701337    
宏观政策     37 0.0350668    
